ElectDist,Shape_Leng,Shape_Area,coun_dist
"44012",1261.61338364000,94715.80517769999,"38"
"44052",5263.21248743000,936993.56971299998,"39"
"44053",5454.89353853000,1437541.49316000007,"39"
"44056",4427.90951733000,1134281.96668999991,"39"
"44060",4488.76608187000,866902.51157900004,"39"
"44062",2690.17888904000,439900.55561600003,"39"
"44064",2023.77925038000,255642.90756299999,"39"
"44065",4289.65538636000,667466.79560700001,"38"
"44066",5190.74356083000,1414380.39598000003,"38"
"48001",2640.58205025000,421189.42203500000,"38"
"48002",2651.21392183000,414943.73781600001,"38"
"48003",5031.50783588000,1121298.85803000000,"44"
"49001",4165.05849102000,1016118.07345000003,"38"
"49002",3119.36634330000,608472.47785599995,"38"
"49003",4162.10400747000,609588.69122000004,"38"
"49004",4683.33321982000,812436.99287299998,"38"
"49005",4202.19582321000,1029812.75924000004,"38"
"49006",3159.35697065000,623790.37709800003,"38"
"49007",4199.55054037000,842655.41635299998,"38"
"49009",4780.93790514000,1038738.47874000005,"38"
"49010",4071.38382108000,787136.55966100004,"38"
"49011",5075.21934671000,830994.93287400005,"38"
"49012",2082.31235928000,203478.61848500001,"38"
"49013",2078.93217645000,202625.95277000000,"38"
"49014",3964.15050685000,353915.40290699998,"38"
"49015",7288.74195895000,1750014.68073999998,"38"
"49016",10320.08233200000,1753003.83578999992,"38"
"49017",6115.12455010000,1177839.80214999989,"38"
"49018",2120.59712514000,218492.43567700000,"38"
"49019",5245.35991502000,943143.12344200001,"43"
"49020",4563.09824910000,939031.33399299998,"38"
"49021",6809.88828155000,1166707.97421999997,"43"
"49030",5718.44950289000,810718.39794699999,"38"
"49031",3462.11371726000,737085.19122399995,"38"
"49032",2083.54917321000,203974.65716999999,"38"
"49033",2079.33724059000,202571.96838800001,"38"
"49037",4996.30300012000,967194.66498899995,"38"
"49042",3340.50075804000,696326.42211000004,"38"
"49046",11778.97096680000,1444564.58642000007,"44"
"49055",7016.55369702000,1182624.19542000000,"43"
"49060",1041.91109810000,67291.80121049999,"44"
"49061",4871.09383630000,1448357.51649999991,"38"
"49062",4718.90011288000,825505.22097300005,"38"
"49064",3208.68455460000,643601.70393600001,"38"
"49066",3122.82993678000,609333.30050899996,"38"
"49067",2603.15225102000,406675.19440300000,"38"
"49068",3122.30223761000,609247.80064799997,"38"
"49069",4761.19681366000,842450.96620400005,"38"
"51001",8718.57963098000,1926780.07939999993,"38"
"51002",4679.03741429000,809625.23889899999,"38"
"51003",4651.52061588000,714378.96144300001,"38"
"51004",3645.80615596000,406942.60449599999,"38"
"51005",4156.54666492000,608524.15137500002,"38"
"51006",3123.54632879000,609911.30944500002,"38"
"51008",5701.22108191000,660873.20990699995,"39"
"51010",20323.52616660000,23297938.05480000004,"38"
"51011",4120.39388691000,911341.73426800000,"38"
"51012",3124.40708328000,608945.98580200004,"38"
"51013",4148.41145891000,605956.29768600001,"38"
"51014",3122.00324493000,608907.86370600003,"38"
"51017",2606.70889936000,407248.60536400002,"38"
"51021",2493.38881884000,332447.45561700000,"38"
"51022",1447.31962336000,120883.04957800001,"39"
"51023",4707.99098703000,786387.24491000001,"38"
"51024",1918.09161873000,148371.84572799999,"38"
"51025",36157.45070190000,8437869.45368999988,"38"
"51026",1508.50724793000,90201.87376620001,"38"
"51027",4775.15029239000,1073867.48200000008,"38"
"51028",2124.37100984000,210906.81053500000,"38"
"51029",4754.84024995000,843411.63465499994,"38"
"51030",2663.22347647000,425856.37815000000,"38"
"51031",4200.01745057000,619144.16081999999,"38"
"51032",4201.41210540000,614647.47916999995,"38"
"51033",4720.46226602000,827679.67343700002,"38"
"51034",3122.41119684000,609413.39868600003,"38"
"51035",3161.26324834000,624588.53156899998,"38"
"51036",3120.95881726000,608738.70477800001,"38"
"51037",3160.71336894000,624189.19470800005,"38"
"51038",4195.41717102000,610975.86376800004,"38"
"51040",4718.01449314000,1247403.16097999993,"38"
"51041",5244.37073563000,1460169.38841999997,"38"
"51042",3688.79814260000,835500.49324700003,"38"
"51043",2480.11268400000,372369.09168299998,"39"
"51049",6836.47810472000,2018447.24647999997,"38"
"51050",6344.79590056000,1738064.44708000007,"38"
"51051",4547.53051269000,941462.80181300000,"38"
"51053",5068.27948886000,1244344.12311000004,"38"
"51054",5407.89845210000,1821507.26814000006,"38"
"51055",4966.66098783000,1189948.20658000000,"38"
"51056",8871.03766598000,2450085.68961999984,"38"
"51057",5747.63763338000,1632157.40638999990,"38"
"51058",5008.81687404000,1135534.83331999998,"38"
"51063",5008.07945499000,898601.93922099995,"38"
"51064",4666.08093506000,1218869.55783999991,"38"
"51065",3478.35918438000,728849.92246999999,"38"
"51066",4647.09638191000,771678.25638300006,"38"
"51067",3763.17925873000,871600.63586699998,"38"
"51068",47476.93694970000,9978649.56014999934,"38"
"51070",3962.23747234000,862454.24014899996,"38"
"51071",3448.59820540000,481219.48268500000,"38"
"51072",7661.85947489000,2489476.99219000014,"38"
"51073",4338.00585875000,1171657.97283999994,"38"
"51074",2728.36592614000,357554.66237300000,"38"
"51075",4198.10257957000,613994.83744799998,"38"
"51078",4120.33514545000,803889.71799999999,"38"
"51079",3167.43008127000,627809.04357900005,"38"
"51080",2600.98004871000,405786.50875600002,"38"
"51081",2992.28653665000,556708.99155100004,"38"
"51082",6282.34568358000,1016740.67555000004,"38"
"51083",4158.16058091000,608514.35745799995,"38"
"51084",3284.83548175000,204307.06289599999,"39"
"51087",1463.56663348000,26453.58576430000,"38"
"52021",2103.49060727000,203917.17221799999,"38"
"52077",2089.90040569000,201474.85940300001,"38"
"52078",2894.24364301000,516006.08039600000,"39"
"52079",2211.76283675000,247641.64658900001,"39"
"52106",1521.02991995000,125012.11663400001,"38"
"52118",2855.71869623000,441789.03431199997,"38"
"52121",2433.59499877000,108112.86263400000,"38"
"52122",576.41975527700,6727.19595095000,"38"
"52123",828.28727946600,41717.21864550000,"39"
"52124",8710.49784300000,1423096.09948999994,"38"
"52125",2913.93564038000,255794.55611700000,"38"
"65095",3615.66847035000,152279.71853899999,"1"
"52119",3221.77530159000,586876.20035099995,"39"
"49008",3123.16076454000,609375.72598600003,"38"
"51016",4163.44119516000,1015293.18894000002,"38"
"51069",6295.40302116000,1578253.37742000003,"38"
"52099",4170.95378229000,775065.34638400003,"39"
"52100",4975.08012724000,828491.19308600004,"39"
"51048",40655.90138060000,9415620.71870999970,"38"
"51039",4201.16702789000,1040290.36948999995,"38"
"51052",9353.67072685000,3897658.69040000020,"38"
"51045",3287.65182790000,311419.46489599999,"39"
"51046",2393.06591622000,202250.26592700000,"39"
"23060",9412.20687094000,2960047.58510999987,"32"
"23061",8352.32863267000,2055615.76625000010,"32"
"23065",20453.47129960000,4771951.18788999971,"32"
"23084",11915.63204520000,3647383.13451999985,"32"
"54001",2317.33631184000,323599.91312400001,"42"
"54002",5575.49154448000,1053490.30064000003,"37"
"54003",3901.77205887000,964878.79424099997,"37"
"54005",3324.61621931000,480856.16695300001,"42"
"54068",5410.32858651000,1100690.21350000007,"37"
"54069",4855.73391688000,1197530.03585999995,"37"
"54070",4644.23602934000,750903.84631199995,"37"
"54071",3295.78893418000,440610.11787100002,"37"
"54072",1461.04795304000,122358.08872000000,"42"
"54075",1981.72763078000,244758.74971199999,"42"
"55013",2543.73912162000,377218.61657999997,"42"
"55046",6733.50618004000,1393903.79709000001,"37"
"55047",3393.81124647000,473610.69100599998,"37"
"55048",4842.88160962000,955635.97978599998,"37"
"55049",3979.42157335000,851887.48134599999,"37"
"55051",1997.93397980000,249089.59931500000,"37"
"55052",3562.80834193000,616911.30456099997,"42"
"55053",2128.81112004000,258704.83480000001,"41"
"55056",1685.03725540000,154624.02259099999,"41"
"55063",2723.66193409000,450829.35077299998,"42"
"55072",2254.65862324000,229242.72590799999,"41"
"55073",1685.22622762000,155182.11271799999,"42"
"55074",2202.58656720000,298207.66236500000,"42"
"55075",3785.02155876000,758432.60456100001,"42"
"55076",4411.14110267000,1061763.61804000009,"41"
"55077",3861.63611964000,599382.49069899996,"41"
"55097",4401.89525882000,906903.24685700005,"41"
"55098",1681.59251669000,154097.69744100000,"42"
"55099",4223.67583429000,986054.76178800000,"42"
"58010",5576.68155763000,1030578.25464000006,"41"
"58011",3892.44754180000,628298.57849300001,"41"
"58052",3407.34441616000,725221.29535499995,"42"
"58053",1906.98349750000,153421.01928300000,"42"
"58054",3315.40942137000,657851.16260399995,"42"
"58055",4387.41991262000,991049.57826099999,"42"
"58056",4466.26568713000,892120.61047700001,"42"
"58058",6310.80281871000,1779553.14580000006,"42"
"58061",4538.49738874000,1223518.59303000011,"42"
"58062",6535.44025972000,1728925.94264000002,"42"
"58063",7033.21526240000,1525017.58067000005,"42"
"58064",5135.12782067000,1671388.53698999994,"42"
"58065",5637.09976586000,1138650.11164000002,"46"
"58066",5407.25200987000,1124357.71344000008,"42"
"58067",3431.97822067000,464447.20276999997,"42"
"58068",1684.95584009000,154820.52532600000,"42"
"58069",5246.35048923000,1283622.88898999989,"42"
"58072",9038.84034004000,2979192.40681000007,"42"
"58073",2510.94633847000,386691.62605700002,"42"
"58085",3300.02047026000,583794.79805099999,"41"
"59009",1442.11343879000,128397.89085500001,"42"
"59089",136901.82939999999,39754276.89389999956,"42"
"60001",4696.88484646000,1053503.78600999992,"42"
"60002",5330.03118461000,976589.84197299997,"42"
"60003",5776.08994559000,1068603.11960999994,"42"
"60004",4351.63144557000,994330.67242700001,"42"
"60005",3809.34388934000,907825.03538300004,"42"
"60006",3093.49215643000,528775.75780899997,"42"
"60007",4810.28384509000,1008921.87089999998,"42"
"60008",4162.77419477000,799128.25382600003,"42"
"60009",4453.59880266000,971376.63187100005,"42"
"60010",4049.66979729000,609083.02379899996,"42"
"60011",1460.20062156000,122308.07224100000,"37"
"60012",3112.74823162000,539018.16563499998,"42"
"60013",4463.59398081000,841027.37894700002,"42"
"60014",4772.87894555000,1124453.64476999990,"42"
"60015",5566.80584232000,1207107.96478000004,"42"
"60016",3020.20445178000,486280.25716799998,"42"
"60017",4120.36903550000,946864.02853400004,"42"
"60018",2976.85654515000,441980.92658400000,"42"
"60019",3731.80188641000,610266.13071699999,"42"
"60020",1887.54282358000,222663.21142300000,"42"
"60021",3775.68281231000,547218.50495500001,"42"
"60022",4118.22836444000,1020886.25612000003,"42"
"60023",4318.36065681000,782216.48639199999,"37"
"60024",6865.74529945000,1809192.03931999998,"42"
"60025",2220.79217755000,297647.13413199998,"42"
"60026",2722.72747229000,395028.71330599999,"42"
"60027",2863.23749513000,493135.91357799998,"42"
"60028",3023.42470975000,398111.36337099998,"42"
"60029",3852.51694118000,897373.50602900004,"42"
"60030",5011.71502302000,1001214.13849000004,"42"
"60031",3343.62487794000,681689.21597500006,"42"
"60032",4771.06765253000,1197141.95204999996,"42"
"60033",4740.30830986000,1248277.47848999989,"42"
"60034",4624.18759540000,1043891.75256000005,"42"
"60035",3834.63185570000,726996.94184700004,"42"
"60036",4247.41269923000,858659.01991699997,"42"
"60037",4503.01793412000,776459.71096199995,"42"
"60038",6448.78552261000,783428.07893099997,"42"
"60039",3866.53803168000,608433.08522000001,"42"
"60040",3329.76945970000,595562.20081299997,"42"
"60041",4831.91068119000,1004501.96927999996,"42"
"60042",7153.24339315000,1160764.18371000001,"42"
"60043",4776.11285832000,982384.67146999994,"42"
"60044",5590.13038765000,988616.10456799995,"42"
"60045",4413.61485565000,1060255.88036999991,"42"
"60046",4398.54809907000,1052201.68399000005,"42"
"60047",5021.60999002000,906498.30423799995,"42"
"60048",2301.51755153000,328851.81431699998,"42"
"60049",3356.51880059000,656208.08192699996,"42"
"60050",5920.14099497000,1270500.22555999993,"42"
"60051",5737.16670731000,1538875.50965999998,"42"
"60052",5396.36505999000,1024000.98999999999,"42"
"60053",4321.64886142000,1080968.83924999996,"42"
"60054",4368.23078078000,840213.82866999996,"42"
"60055",4350.30605319000,1020293.04400999995,"42"
"60056",4860.65549899000,1175780.90589999990,"42"
"60057",3209.15071230000,585176.03420100000,"42"
"60058",3306.80974989000,639058.05355399998,"42"
"60059",8714.28020424000,1869064.72524000006,"42"
"60060",3401.49707763000,607617.55800099997,"42"
"60061",11405.50890440000,5657453.19587999955,"42"
"60062",3917.38393411000,914991.66613100003,"42"
"60063",6201.21556476000,1217562.52206000010,"42"
"60064",6409.59203327000,1199915.19709999999,"42"
"60065",3615.23543691000,666082.21350700001,"42"
"60066",10252.86903980000,2637925.05863999994,"42"
"60067",2047.06135409000,239641.92433000001,"42"
"60068",2535.48302442000,390074.82181900000,"42"
"60069",9010.53276116000,4647073.25736000016,"42"
"60070",9858.00010116000,4810843.23352000024,"42"
"60071",4505.53683963000,1155155.13133000000,"42"
"60072",4093.76316013000,880352.26521300001,"42"
"60073",3980.84480939000,916326.08126000001,"42"
"60074",8631.11622118000,2025424.50159000000,"42"
"60075",4164.02198406000,766288.15043699997,"42"
"60076",2199.63307705000,298193.92277000000,"42"
"60077",5968.38751627000,2014101.78710000007,"42"
"60078",9925.87953618000,3783971.92385999998,"42"
"60080",3169.35654105000,577950.11601899995,"42"
"60081",4441.33947127000,760878.53662200004,"42"
"60082",3752.24427004000,750851.43120999995,"42"
"60083",3738.38286542000,751052.81620600005,"42"
"60084",8016.59723194000,3481223.07225999981,"42"
"60085",12038.99813960000,7280209.50934000034,"42"
"60086",39418.96455540000,30475375.58710000291,"42"
"60087",3813.62676404000,726390.21241799998,"42"
"60088",4974.88467600000,739756.04654100002,"42"
"60089",2913.54445900000,487563.81950099999,"42"
"60090",5179.33093574000,1034632.90252999996,"42"
"60091",3870.00463285000,752543.72801800002,"42"
"23080",63844.48257070000,22484669.98200000077,"32"
"55064",2727.34745913000,453957.01354299998,"41"
"55105",1637.29297234000,147778.62069000001,"41"
"55062",6582.24065322000,1373801.81315999990,"42"
"55055",6724.55536252000,1359027.05872999993,"37"
"55061",3963.40610758000,854557.70426300005,"42"
